name,collection,material,pivot_x_mm,pivot_y_mm,pivot_z_mm,axis_x,axis_y,axis_z,spin,role,cyl,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm
valve_ex_8_2,03 Heads and Valvetrain,inconel,,,,,,,,,,7368,7620,162.8,191.8,67.3,131.9,92.5,177.4
valve_in_1_1,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,-196.8,-162.8,-179.3,-93.0,63.4,130.1
valve_in_1_2,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,-162.2,-128.2,-179.3,-93.0,63.4,130.1
valve_in_2_1,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,-177.8,-143.8,93.0,179.3,63.4,130.1
valve_in_2_2,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,-143.2,-109.2,93.0,179.3,63.4,130.1
valve_in_3_1,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,-94.8,-60.8,-179.3,-93.0,63.4,130.1
valve_in_3_2,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,-60.2,-26.2,-179.3,-93.0,63.4,130.1
valve_in_4_1,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,-75.8,-41.8,93.0,179.3,63.4,130.1
valve_in_4_2,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,-41.2,-7.2,93.0,179.3,63.4,130.1
valve_in_5_1,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,7.2,41.2,-179.3,-93.0,63.4,130.1
valve_in_5_2,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,41.8,75.8,-179.3,-93.0,63.4,130.1
valve_in_6_1,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,26.2,60.2,93.0,179.3,63.4,130.1
valve_in_6_2,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,60.8,94.8,93.0,179.3,63.4,130.1
valve_in_7_1,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,109.2,143.2,-179.3,-93.0,63.4,130.1
valve_in_7_2,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,143.8,177.8,-179.3,-93.0,63.4,130.1
valve_in_8_1,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,128.2,162.2,93.0,179.3,63.4,130.1
valve_in_8_2,03 Heads and Valvetrain,titanium,,,,,,,,,,7368,7620,162.8,196.8,93.0,179.3,63.4,130.1
accessory_belt,07 Drive and Ancillaries,rubber_blk,,,,,,,,,,800,784,-313.0,-299.0,-140.5,132.8,-69.0,137.0
accessory_pulleys,07 Drive and Ancillaries,alu_forged,,,,,,,,,,848,848,-313.0,-291.0,-181.9,122.0,-62.0,130.0
alternator,07 Drive and Ancillaries,alu_cast,,,,,,,,,,1960,1700,-371.5,-296.5,-189.5,-110.5,46.0,131.0
breathers,07 Drive and Ancillaries,alu_forged,,,,,,,,,,444,300,-228.9,-148.4,-217.4,217.4,200.9,247.0
cam_caps,03 Heads and Valvetrain,alu_forged,,,,,,,,,,3136,2720,-195.1,149.9,-226.7,226.7,126.2,226.7
catch_tank,07 Drive and Ancillaries,alu_forged,,,,,,,,,,65480,65364,-196.0,-38.0,-239.7,-115.8,-206.0,-93.8
collector_1,05 Turbo and Exhaust,inconel,,,,,,,,,,1145,1270,-204.0,-116.0,-40.0,40.0,231.0,311.0
collector_2,05 Turbo and Exhaust,inconel,,,,,,,,,,1145,1270,32.0,120.0,-40.0,40.0,231.0,311.0
dipstick,07 Drive and Ancillaries,steel_nitrided,,,,,,,,,,32,18,168.0,196.0,116.0,134.0,-160.4,60.4
fuel_feeds_l,07 Drive and Ancillaries,steel_nitrided,,,,,,,,,,888,600,-167.0,148.0,-158.5,-128.4,40.3,77.8
fuel_feeds_r,07 Drive and Ancillaries,steel_nitrided,,,,,,,,,,888,600,-148.0,167.0,128.4,158.5,40.3,77.8
fuel_rail_l,07 Drive and Ancillaries,alu_forged,,,,,,,,,,2193,2286,-212.0,224.0,-176.9,-138.9,25.8,63.8
fuel_rail_r,07 Drive and Ancillaries,alu_forged,,,,,,,,,,2193,2286,-212.0,224.0,138.9,176.9,25.8,63.8
hp_fuel_pump,07 Drive and Ancillaries,alu_cast,,,,,,,,,,1372,1190,-35.7,35.7,191.3,244.7,123.0,212.0
main_cap_1,02 Bottom End,alu_forged,,,,,,,,,,1572,1538,-219.0,-193.0,-50.0,50.0,-76.0,0.0
main_cap_2,02 Bottom End,alu_forged,,,,,,,,,,1572,1538,-116.0,-90.0,-50.0,50.0,-76.0,0.0
main_cap_3,02 Bottom End,alu_forged,,,,,,,,,,1572,1538,-13.0,13.0,-50.0,50.0,-76.0,0.0
main_cap_4,02 Bottom End,alu_forged,,,,,,,,,,1572,1538,90.0,116.0,-50.0,50.0,-76.0,0.0
main_cap_5,02 Bottom End,alu_forged,,,,,,,,,,1572,1538,193.0,219.0,-50.0,50.0,-76.0,0.0
main_shell_1_lower,02 Bottom End,copper_wound,,,,,,,,,,428,404,-212.1,-199.9,-30.4,32.1,-30.4,0.0
main_shell_1_upper,02 Bottom End,copper_wound,,,,,,,,,,592,564,-212.1,-199.9,-30.4,32.1,0.0,30.4
main_shell_2_lower,02 Bottom End,copper_wound,,,,,,,,,,428,404,-109.1,-96.9,-30.4,32.1,-30.4,0.0
main_shell_2_upper,02 Bottom End,copper_wound,,,,,,,,,,592,564,-109.1,-96.9,-30.4,32.1,0.0,30.4
main_shell_3_lower,02 Bottom End,copper_wound,,,,,,,,,,428,404,-6.1,6.1,-30.4,32.1,-30.4,0.0
main_shell_3_upper,02 Bottom End,copper_wound,,,,,,,,,,592,564,-6.1,6.1,-30.4,32.1,0.0,30.4
main_shell_4_lower,02 Bottom End,copper_wound,,,,,,,,,,428,404,96.9,109.1,-30.4,32.1,-30.4,0.0
main_shell_4_upper,02 Bottom End,copper_wound,,,,,,,,,,592,564,96.9,109.1,-30.4,32.1,0.0,30.4
main_shell_5_lower,02 Bottom End,copper_wound,,,,,,,,,,428,404,199.9,212.1,-30.4,32.1,-30.4,0.0
main_shell_5_upper,02 Bottom End,copper_wound,,,,,,,,,,592,564,199.9,212.1,-30.4,32.1,0.0,30.4
primary_1,05 Turbo and Exhaust,inconel,,,,,,,,,,1464,1485,-178.4,-130.7,-110.6,2.4,140.6,328.1
primary_2,05 Turbo and Exhaust,inconel,,,,,,,,,,1464,1485,-162.1,-119.4,-4.3,110.6,140.6,328.1
primary_3,05 Turbo and Exhaust,inconel,,,,,,,,,,1464,1485,-158.0,-45.0,-110.6,9.9,140.6,328.2
primary_4,05 Turbo and Exhaust,inconel,,,,,,,,,,1464,1485,-157.2,-26.6,-10.4,110.6,140.6,328.2
primary_5,05 Turbo and Exhaust,inconel,,,,,,,,,,1464,1485,26.6,97.9,-110.6,3.7,140.6,328.1
primary_6,05 Turbo and Exhaust,inconel,,,,,,,,,,1464,1485,45.0,98.3,-2.1,110.6,140.6,328.1
primary_7,05 Turbo and Exhaust,inconel,,,,,,,,,,1464,1485,76.5,159.8,-110.6,8.5,140.6,328.2
primary_8,05 Turbo and Exhaust,inconel,,,,,,,,,,1464,1485,77.4,178.4,-9.4,110.6,140.6,328.2
rod_bolts,02 Bottom End,titanium,,,,,,,,,,2992,3552,-169.1,169.1,-25.6,25.6,-33.0,-24.0
rod_shell_1_lower,02 Bottom End,copper_wound,,,,,,,,,,396,372,-171.0,-154.0,-27.0,28.7,-27.0,0.0
rod_shell_1_upper,02 Bottom End,copper_wound,,,,,,,,,,396,372,-171.0,-154.0,-27.0,28.7,0.0,27.0
rod_shell_2_lower,02 Bottom End,copper_wound,,,,,,,,,,396,372,-152.0,-135.0,-27.0,28.7,-27.0,0.0
rod_shell_2_upper,02 Bottom End,copper_wound,,,,,,,,,,396,372,-152.0,-135.0,-27.0,28.7,0.0,27.0
rod_shell_3_lower,02 Bottom End,copper_wound,,,,,,,,,,396,372,-69.0,-52.0,-27.0,28.7,-27.0,0.0
rod_shell_3_upper,02 Bottom End,copper_wound,,,,,,,,,,396,372,-69.0,-52.0,-27.0,28.7,0.0,27.0
rod_shell_4_lower,02 Bottom End,copper_wound,,,,,,,,,,396,372,-50.0,-33.0,-27.0,28.7,-27.0,0.0
rod_shell_4_upper,02 Bottom End,copper_wound,,,,,,,,,,396,372,-50.0,-33.0,-27.0,28.7,0.0,27.0
rod_shell_5_lower,02 Bottom End,copper_wound,,,,,,,,,,396,372,33.0,50.0,-27.0,28.7,-27.0,0.0
rod_shell_5_upper,02 Bottom End,copper_wound,,,,,,,,,,396,372,33.0,50.0,-27.0,28.7,0.0,27.0
rod_shell_6_lower,02 Bottom End,copper_wound,,,,,,,,,,396,372,52.0,69.0,-27.0,28.7,-27.0,0.0
rod_shell_6_upper,02 Bottom End,copper_wound,,,,,,,,,,396,372,52.0,69.0,-27.0,28.7,0.0,27.0
rod_shell_7_lower,02 Bottom End,copper_wound,,,,,,,,,,396,372,135.0,152.0,-27.0,28.7,-27.0,0.0
rod_shell_7_upper,02 Bottom End,copper_wound,,,,,,,,,,396,372,135.0,152.0,-27.0,28.7,0.0,27.0
rod_shell_8_lower,02 Bottom End,copper_wound,,,,,,,,,,396,372,154.0,171.0,-27.0,28.7,-27.0,0.0
rod_shell_8_upper,02 Bottom End,copper_wound,,,,,,,,,,396,372,154.0,171.0,-27.0,28.7,0.0,27.0
runner_1,04 Induction,alu_forged,,,,,,,,,,1464,1485,-187.5,-137.5,-242.6,-138.9,27.6,116.1
runner_2,04 Induction,alu_forged,,,,,,,,,,1464,1485,-168.5,-118.5,138.9,242.6,27.6,116.1
runner_3,04 Induction,alu_forged,,,,,,,,,,1464,1485,-85.5,-35.5,-242.6,-138.9,27.6,116.1
runner_4,04 Induction,alu_forged,,,,,,,,,,1464,1485,-66.5,-16.5,138.9,242.6,27.6,116.1
runner_5,04 Induction,alu_forged,,,,,,,,,,1464,1485,16.5,66.5,-242.6,-138.9,27.6,116.1
runner_6,04 Induction,alu_forged,,,,,,,,,,1464,1485,35.5,85.5,138.9,242.6,27.6,116.1
runner_7,04 Induction,alu_forged,,,,,,,,,,1464,1485,118.5,168.5,-242.6,-138.9,27.6,116.1
runner_8,04 Induction,alu_forged,,,,,,,,,,1464,1485,137.5,187.5,138.9,242.6,27.6,116.1
starter,07 Drive and Ancillaries,alu_cast,,,,,,,,,,372,444,82.0,194.0,64.0,144.0,-86.0,-6.0
plenum_l,04 Induction,carbon,,,,,,,,,,3048,3048,-212.0,212.0,-271.5,-192.5,30.5,109.5
plenum_r,04 Induction,carbon,,,,,,,,,,3048,3048,-212.0,212.0,192.5,271.5,30.5,109.5
throttle_l,04 Induction,alu_forged,,,,,,,,,,3434,3530,-56.0,56.0,-320.7,-264.7,14.0,126.0
throttle_r,04 Induction,alu_forged,,,,,,,,,,3434,3530,-56.0,56.0,264.7,320.7,14.0,126.0
trumpets,04 Induction,carbon,,,,,,,,,,3312,3312,-195.5,195.5,-254.8,254.8,37.0,103.0
tailpipes,05 Turbo and Exhaust,inconel,,,,,,,,,,318,216,-187.9,304.5,-79.0,78.9,229.5,322.0
turbos,05 Turbo and Exhaust,inconel,,,,,,,,,,3868,4118,-168.6,182.0,-64.0,70.2,191.0,319.0
battery,06 Hybrid,anodised,,,,,,,,,,5880,5100,-195.8,195.8,-187.8,187.8,-277.0,-216.0
battery_modules,06 Hybrid,anodised,,,,,,,,,,2548,2210,-189.1,189.1,-188.0,188.0,-264.2,-223.8
battery_terminals,06 Hybrid,copper_wound,,,,,,,,,,1072,1180,-134.6,139.7,-124.0,124.0,-216.0,-202.0
ecu,06 Hybrid,anodised,,,,,,,,,,1960,1700,-83.9,83.9,162.1,249.9,-97.0,-58.0
ecu_connector,06 Hybrid,rubber_blk,,,,,,,,,,1896,2270,-105.0,-79.7,179.6,232.4,-88.5,-71.5
inverter,06 Hybrid,anodised,,,,,,,,,,2352,2040,226.2,325.8,-78.8,78.8,153.0,236.0
inverter_connectors,06 Hybrid,rubber_blk,,,,,,,,,,3112,3700,200.0,356.2,-11.0,11.0,189.4,205.4
mguh,06 Hybrid,copper_wound,,,,,,,,,,1568,1568,-154.0,154.0,-40.0,40.0,215.0,295.0
mguk,06 Hybrid,copper_wound,,,,,,,,,,8180,7452,-340.0,-232.0,-84.5,84.5,-84.5,84.5
bellhousing,07 Drive and Ancillaries,magnesium,,,,,,,,,,12286,12818,235.5,318.5,-166.0,166.0,-166.0,166.0
clutch,07 Drive and Ancillaries,alu_cast,,,,,,,,,,15308,15260,254.0,294.0,-82.6,82.6,-82.6,82.6
flywheel,07 Drive and Ancillaries,steel_nitrided,,,,,,,,,,9524,9764,251.0,279.0,-103.5,103.5,-103.5,103.5
pump_oil,07 Drive and Ancillaries,alu_forged,,,,,,,,,,12480,12775,-242.0,-123.0,-228.7,-155.3,-50.7,22.7
pump_water,07 Drive and Ancillaries,alu_forged,,,,,,,,,,4068,3984,-258.0,-185.0,115.1,266.2,-93.5,29.9
coolant_plumbing,07 Drive and Ancillaries,alu_forged,,,,,,,,,,838,766,-304.7,-233.1,70.5,174.0,-44.8,194.0
dry_sump_lines,07 Drive and Ancillaries,alu_forged,,,,,,,,,,444,300,-227.0,195.4,-161.0,161.0,-162.5,-0.2
head_studs,03 Heads and Valvetrain,alu_cast,,,,,,,,,,12576,15680,-162.5,294.5,-127.0,127.0,39.2,127.0
heat_shields,05 Turbo and Exhaust,inconel,,,,,,,,,,252,248,-187.0,187.0,-114.0,114.0,297.0,323.2
oil_pickup,07 Drive and Ancillaries,alu_forged,,,,,,,,,,418,320,-257.5,11.7,-108.9,-15.3,-153.0,-37.1
retainer_1_0,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-193.0,-166.6,-179.7,-162.9,112.3,135.3
retainer_1_1,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-158.4,-132.0,-179.7,-162.9,112.3,135.3
retainer_1_2,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-190.5,-164.1,-137.1,-114.2,161.0,177.8
retainer_1_3,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-160.9,-134.5,-137.1,-114.2,161.0,177.8
retainer_2_0,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-174.0,-147.6,162.9,179.7,112.3,135.3
retainer_2_1,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-139.4,-113.0,162.9,179.7,112.3,135.3
retainer_2_2,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-171.5,-145.1,114.2,137.1,161.0,177.8
retainer_2_3,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-141.9,-115.5,114.2,137.1,161.0,177.8
retainer_3_0,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-91.0,-64.6,-179.7,-162.9,112.3,135.3
retainer_3_1,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-56.4,-30.0,-179.7,-162.9,112.3,135.3
retainer_3_2,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-88.5,-62.1,-137.1,-114.2,161.0,177.8
retainer_3_3,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-58.9,-32.5,-137.1,-114.2,161.0,177.8
retainer_4_0,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-72.0,-45.6,162.9,179.7,112.3,135.3
retainer_4_1,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-37.4,-11.0,162.9,179.7,112.3,135.3
retainer_4_2,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-69.5,-43.1,114.2,137.1,161.0,177.8
retainer_4_3,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,-39.9,-13.5,114.2,137.1,161.0,177.8
retainer_5_0,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,11.0,37.4,-179.7,-162.9,112.3,135.3
retainer_5_1,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,45.6,72.0,-179.7,-162.9,112.3,135.3
retainer_5_2,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,13.5,39.9,-137.1,-114.2,161.0,177.8
retainer_5_3,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,43.1,69.5,-137.1,-114.2,161.0,177.8
retainer_6_0,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,30.0,56.4,162.9,179.7,112.3,135.3
retainer_6_1,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,64.6,91.0,162.9,179.7,112.3,135.3
retainer_6_2,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,32.5,58.9,114.2,137.1,161.0,177.8
retainer_6_3,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,62.1,88.5,114.2,137.1,161.0,177.8
retainer_7_0,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,113.0,139.4,-179.7,-162.9,112.3,135.3
retainer_7_1,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,147.6,174.0,-179.7,-162.9,112.3,135.3
retainer_7_2,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,115.5,141.9,-137.1,-114.2,161.0,177.8
retainer_7_3,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,145.1,171.5,-137.1,-114.2,161.0,177.8
retainer_8_0,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,132.0,158.4,162.9,179.7,112.3,135.3
retainer_8_1,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,166.6,193.0,162.9,179.7,112.3,135.3
retainer_8_2,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,134.5,160.9,114.2,137.1,161.0,177.8
retainer_8_3,03 Heads and Valvetrain,titanium,,,,,,,,,,4064,4064,164.1,190.5,114.2,137.1,161.0,177.8
sensors,07 Drive and Ancillaries,anodised,,,,,,,,,,4910,5750,-225.0,205.0,-147.6,168.0,-135.0,56.0
sump_bolts,07 Drive and Ancillaries,magnesium,,,,,,,,,,28296,35280,-200.4,200.4,-98.4,98.4,-132.0,-118.0
tappet_1_0,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-193.8,-165.8,-187.7,-157.9,108.7,141.1
tappet_1_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-159.2,-131.2,-187.7,-157.9,108.7,141.1
tappet_1_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-191.3,-163.3,-143.0,-110.6,156.0,185.8
tappet_1_3,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-161.7,-133.7,-143.0,-110.6,156.0,185.8
tappet_2_0,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-174.8,-146.8,157.9,187.7,108.7,141.1
tappet_2_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-140.2,-112.2,157.9,187.7,108.7,141.1
tappet_2_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-172.3,-144.3,110.6,143.0,156.0,185.8
tappet_2_3,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-142.7,-114.7,110.6,143.0,156.0,185.8
tappet_3_0,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-91.8,-63.8,-187.7,-157.9,108.7,141.1
tappet_3_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-57.2,-29.2,-187.7,-157.9,108.7,141.1
tappet_3_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-89.3,-61.3,-143.0,-110.6,156.0,185.8
tappet_3_3,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-59.7,-31.7,-143.0,-110.6,156.0,185.8
tappet_4_0,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-72.8,-44.8,157.9,187.7,108.7,141.1
tappet_4_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-38.2,-10.2,157.9,187.7,108.7,141.1
tappet_4_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-70.3,-42.3,110.6,143.0,156.0,185.8
tappet_4_3,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,-40.7,-12.7,110.6,143.0,156.0,185.8
tappet_5_0,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,10.2,38.2,-187.7,-157.9,108.7,141.1
tappet_5_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,44.8,72.8,-187.7,-157.9,108.7,141.1
tappet_5_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,12.7,40.7,-143.0,-110.6,156.0,185.8
tappet_5_3,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,42.3,70.3,-143.0,-110.6,156.0,185.8
tappet_6_0,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,29.2,57.2,157.9,187.7,108.7,141.1
tappet_6_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,63.8,91.8,157.9,187.7,108.7,141.1
tappet_6_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,31.7,59.7,110.6,143.0,156.0,185.8
tappet_6_3,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,61.3,89.3,110.6,143.0,156.0,185.8
tappet_7_0,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,112.2,140.2,-187.7,-157.9,108.7,141.1
tappet_7_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,146.8,174.8,-187.7,-157.9,108.7,141.1
tappet_7_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,114.7,142.7,-143.0,-110.6,156.0,185.8
tappet_7_3,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,144.3,172.3,-143.0,-110.6,156.0,185.8
tappet_8_0,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,131.2,159.2,157.9,187.7,108.7,141.1
tappet_8_1,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,165.8,193.8,157.9,187.7,108.7,141.1
tappet_8_2,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,133.7,161.7,110.6,143.0,156.0,185.8
tappet_8_3,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,5588,5588,163.3,191.3,110.6,143.0,156.0,185.8
timing_cover,07 Drive and Ancillaries,magnesium,,,,,,,,,,1124,1124,-284.0,-266.0,-152.0,152.0,-152.0,152.0
timing_gears,07 Drive and Ancillaries,magnesium,,,,,,,,,,53160,47856,-269.0,-255.0,-241.0,241.0,-55.1,241.0
turbo_wheels,05 Turbo and Exhaust,inconel,,,,,,,,,,9920,9168,-164.0,164.0,-41.0,41.0,213.7,296.4
valve_spring_1_0,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-191.1,-168.6,-172.6,-109.1,77.3,130.0
valve_spring_1_1,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-156.4,-133.9,-172.6,-109.1,77.3,130.0
valve_spring_1_2,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-188.6,-166.0,-131.6,-78.9,107.6,171.2
valve_spring_1_3,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-159.0,-136.4,-131.6,-78.9,107.6,171.2
valve_spring_2_0,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-172.1,-149.6,109.1,172.6,77.3,130.0
valve_spring_2_1,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-137.4,-114.9,109.1,172.6,77.3,130.0
valve_spring_2_2,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-169.6,-147.0,78.9,131.6,107.6,171.2
valve_spring_2_3,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-140.0,-117.4,78.9,131.6,107.6,171.2
valve_spring_3_0,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-89.1,-66.6,-172.6,-109.1,77.3,130.0
valve_spring_3_1,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-54.4,-31.9,-172.6,-109.1,77.3,130.0
valve_spring_3_2,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-86.6,-64.0,-131.6,-78.9,107.6,171.2
valve_spring_3_3,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-57.0,-34.4,-131.6,-78.9,107.6,171.2
valve_spring_4_0,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-70.1,-47.6,109.1,172.6,77.3,130.0
valve_spring_4_1,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-35.4,-12.9,109.1,172.6,77.3,130.0
valve_spring_4_2,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-67.6,-45.0,78.9,131.6,107.6,171.2
valve_spring_4_3,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,-38.0,-15.4,78.9,131.6,107.6,171.2
valve_spring_5_0,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,12.9,35.4,-172.6,-109.1,77.3,130.0
valve_spring_5_1,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,47.6,70.1,-172.6,-109.1,77.3,130.0
valve_spring_5_2,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,15.4,38.0,-131.6,-78.9,107.6,171.2
valve_spring_5_3,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,45.0,67.6,-131.6,-78.9,107.6,171.2
valve_spring_6_0,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,31.9,54.4,109.1,172.6,77.3,130.0
valve_spring_6_1,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,66.6,89.1,109.1,172.6,77.3,130.0
valve_spring_6_2,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,34.4,57.0,78.9,131.6,107.6,171.2
valve_spring_6_3,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,64.0,86.6,78.9,131.6,107.6,171.2
valve_spring_7_0,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,114.9,137.4,-172.6,-109.1,77.3,130.0
valve_spring_7_1,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,149.6,172.1,-172.6,-109.1,77.3,130.0
valve_spring_7_2,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,117.4,140.0,-131.6,-78.9,107.6,171.2
valve_spring_7_3,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,147.0,169.6,-131.6,-78.9,107.6,171.2
valve_spring_8_0,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,133.9,156.4,109.1,172.6,77.3,130.0
valve_spring_8_1,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,168.6,191.1,109.1,172.6,77.3,130.0
valve_spring_8_2,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,136.4,159.0,78.9,131.6,107.6,171.2
valve_spring_8_3,03 Heads and Valvetrain,spring_steel,,,,,,,,,,13572,13524,166.0,188.6,78.9,131.6,107.6,171.2
belt_idler,07 Drive and Ancillaries,steel_nitrided,,,,,,,,,,532,532,-280.0,-212.0,128.0,208.0,-80.0,0.0
belt_tensioner,07 Drive and Ancillaries,alu_forged,,,,,,,,,,960,934,-334.0,-246.0,-172.0,-66.0,36.0,151.9
blowoff,04 Induction,rubber_blk,,,,,,,,,,572,572,86.0,154.0,-164.0,-86.0,300.0,370.0
